system:index,dem_0,.geo
201,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26319668874038,26.555587224937597]}"
202,84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.22331149012547,26.524325853050236]}"
203,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30146491984385,26.513815564226036]}"
204,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24190661650675,26.507347694180375]}"
205,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36533513654479,26.49791538369712]}"
206,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25699831327995,26.491178019066226]}"
207,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3249109487594,26.491178019066226]}"
208,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34970445060111,26.484979643605797]}"
209,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41761708608055,26.45075383128085]}"
210,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43540372870609,26.405748235546454]}"
211,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40171690555161,26.37206141239198]}"
212,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43621221246178,26.35535274810735]}"
213,73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47259398146866,26.352388307669756]}"
214,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41141871062013,26.32840328958377]}"
215,70,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.59871744735904,26.32031845202669]}"
216,73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55478982996556,26.313581087395796]}"
217,64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58227827765961,26.287709607213152]}"
218,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.64075860265581,26.287709607213152]}"
219,73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5631441621079,26.277199318388952]}"
220,64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.59117159897244,26.277199318388952]}"
221,68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.60707177950133,26.261838127030508]}"
