system:index,ir_0,ir_1,ir_2,.geo
160,2238.0,2334.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39739010521029,26.786818541395807]}"
161,2202.0,2153.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49252169379855,26.811073054067034]}"
162,2553.0,2605.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26318180176284,26.555592187263443]}"
163,2828.0,2875.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35615743366921,26.56098207896816]}"
164,2903.0,2770.0,3051.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17936898575448,26.577151754082312]}"
165,2817.0,2655.0,3049.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31492476212811,26.579307710764198]}"
166,2792.0,2486.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29417367906495,26.602753739679716]}"
167,2619.0,2569.0,3040.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24593414830774,26.604101212605897]}"
168,3271.0,3107.0,3053.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32732151304897,26.61622846894151]}"
169,2664.0,2070.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33783180187316,26.631589660299955]}"
170,2507.0,2280.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30064154911062,26.637518541175144]}"
171,2569.0,1879.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18341140453302,26.641560959953683]}"
172,2689.0,2363.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23784931075066,26.648298324584577]}"
173,1728.0,1368.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27854299312128,26.6507237758517]}"
174,2581.0,2691.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29498216282066,26.65719164589736]}"
175,2472.0,2514.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38714931097132,26.65853911882354]}"
176,3030.0,2882.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2621038234219,26.66312052677255]}"
177,2087.0,1523.0,3003.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38283739760756,26.672552837255804]}"
178,1898.0,1402.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38822728931227,26.672552837255804]}"
179,2523.0,2270.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17882999658401,26.67416980476722]}"
180,2605.0,3168.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3876883001418,26.68252413690953]}"
181,2721.0,2414.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38283739760756,26.685758071932362]}"
182,2720.0,2580.0,3014.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26911068263803,26.68845301778472]}"
183,2338.0,2020.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28177692814411,26.698424317438448]}"
184,2655.0,2580.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35588793908397,26.702466736216984]}"
185,2406.0,1864.0,3016.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.341065736896,26.7040837037284]}"
186,2344.0,2314.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30252801120727,26.707048144165995]}"
187,2641.0,2266.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2162897439318,26.707587133336467]}"
188,2675.0,2527.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1712841481974,26.71001258460359]}"
189,2457.0,2044.0,3019.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34726411235643,26.726451754302975]}"
190,2271.0,1974.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25078505084198,26.730494173081514]}"
191,2767.0,3531.0,3014.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34753360694165,26.731302656837222]}"
192,2398.0,2480.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3898442568237,26.731302656837222]}"
193,2809.0,2751.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31735021339524,26.736153559371466]}"
194,2214.0,2314.0,3012.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38661032180086,26.73669254854194]}"
195,2543.0,2408.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20982187388613,26.742082440246655]}"
196,930.0,437.0,2996.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.341065736896,26.743699407758072]}"
197,2126.0,2196.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38229840843708,26.743699407758072]}"
198,985.0,404.0,2999.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29713811950255,26.745855364439958]}"
199,2703.0,2306.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33001645890133,26.746663848195666]}"
200,2384.0,2668.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26129533966618,26.748011321121844]}"
201,2784.0,2827.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31196032169052,26.74962828863326]}"
202,935.0,390.0,3000.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32866898597514,26.75151475072991]}"
203,2363.0,1904.0,3014.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34699461777119,26.75151475072991]}"
204,2546.0,2450.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33244191016846,26.751784245315147]}"
205,2419.0,2825.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24296970787015,26.75340121282656]}"
206,2116.0,1852.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25105454542722,26.753940201997032]}"
207,2492.0,2518.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28204642272934,26.753940201997032]}"
208,1424.0,1119.0,3004.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29174822779784,26.759599588286985]}"
209,2339.0,2011.0,3024.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3372928127027,26.764450490821233]}"
210,2625.0,2653.0,3029.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33082494265703,26.78466258471392]}"
211,2593.0,2481.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18637584497061,26.78654904681057]}"
212,2275.0,2388.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20631844427807,26.789243992662932]}"
213,2776.0,1366.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31357728920194,26.789243992662932]}"
214,1734.0,1361.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.14244822757718,26.79247792768576]}"
215,2437.0,2063.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27234461766085,26.80164074358378]}"
216,2397.0,2169.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33378938309463,26.802449227339487]}"
